Flight_ID,Airline,Route,Date,Delay_Minutes,Delay_Type,Revenue,Month,Revenue_Loss
FL100000,SpiceJet,HYD-BOM,2024-01-01,39,Air Traffic,158125,January,3900
FL100001,Akasa Air,HYD-BOM,2024-01-02,20,Crew,442866,January,2000
FL100002,Vistara,HYD-BOM,2024-01-03,142,Crew,418226,January,14200
FL100003,Akasa Air,HYD-BOM,2024-01-04,98,Security,53696,January,9800
FL100004,Akasa Air,MAA-DEL,2024-01-05,25,Technical,176310,January,2500
FL100005,Air India,MAA-DEL,2024-01-06,7,Security,463274,January,700
FL100006,Vistara,BLR-PNQ,2024-01-07,99,Security,201385,January,9900
FL100007,Vistara,BOM-BLR,2024-01-08,86,Weather,331293,January,8600
FL100008,Vistara,DEL-BOM,2024-01-09,41,Air Traffic,442208,January,4100
FL100009,Akasa Air,HYD-BOM,2024-01-10,171,Crew,365665,January,17100
FL100010,SpiceJet,BLR-PNQ,2024-01-11,13,Technical,95740,January,1300
FL100011,Vistara,BOM-BLR,2024-01-12,77,Crew,156611,January,7700
FL100012,Akasa Air,DEL-BOM,2024-01-13,1,Crew,448172,January,100
FL100013,Air India,CCU-BOM,2024-01-14,118,Air Traffic,298922,January,11800
FL100014,SpiceJet,DEL-BLR,2024-01-15,36,Crew,378785,January,3600
FL100015,Air India,MAA-DEL,2024-01-16,68,Crew,113811,January,6800
FL100016,SpiceJet,CCU-BOM,2024-01-17,165,Security,495376,January,16500
FL100017,Akasa Air,DEL-BOM,2024-01-18,40,Air Traffic,232385,January,4000
FL100018,IndiGo,CCU-BOM,2024-01-19,61,Weather,113232,January,6100
FL100019,SpiceJet,DEL-BLR,2024-01-20,59,Technical,327561,January,5900
FL100020,Air India,BLR-PNQ,2024-01-21,124,Crew,205801,January,12400
FL100021,Akasa Air,DEL-BOM,2024-01-22,110,Technical,162492,January,11000
FL100022,SpiceJet,CCU-BOM,2024-01-23,13,Weather,80099,January,1300
FL100023,IndiGo,MAA-DEL,2024-01-24,83,Technical,279206,January,8300
FL100024,IndiGo,MAA-DEL,2024-01-25,129,Weather,473177,January,12900
FL100025,Vistara,BOM-BLR,2024-01-26,69,Security,455818,January,6900
FL100026,Vistara,CCU-BOM,2024-01-27,144,Crew,168474,January,14400
FL100027,Air India,HYD-BOM,2024-01-28,122,Weather,321400,January,12200
FL100028,SpiceJet,CCU-BOM,2024-01-29,88,Technical,293588,January,8800
FL100029,SpiceJet,BLR-PNQ,2024-01-30,27,Crew,84681,January,2700
FL100030,Vistara,DEL-BOM,2024-01-31,65,Security,141328,January,6500
FL100031,SpiceJet,DEL-BOM,2024-02-01,162,Crew,268512,February,16200
FL100032,SpiceJet,BLR-PNQ,2024-02-02,4,Weather,355505,February,400
FL100033,IndiGo,CCU-BOM,2024-02-03,167,Security,84540,February,16700
FL100034,Vistara,BLR-PNQ,2024-02-04,163,Technical,207608,February,16300
FL100035,Akasa Air,DEL-BLR,2024-02-05,44,Security,134700,February,4400
FL100036,Vistara,BLR-PNQ,2024-02-06,150,Security,390676,February,15000
FL100037,Akasa Air,MAA-DEL,2024-02-07,46,Air Traffic,237647,February,4600
FL100038,IndiGo,BLR-PNQ,2024-02-08,30,Security,439770,February,3000
FL100039,Air India,DEL-BOM,2024-02-09,138,Security,446087,February,13800
FL100040,SpiceJet,MAA-DEL,2024-02-10,9,Crew,96002,February,900
FL100041,IndiGo,DEL-BOM,2024-02-11,117,Technical,99812,February,11700
FL100042,SpiceJet,BOM-BLR,2024-02-12,13,Crew,465842,February,1300
FL100043,Air India,HYD-BOM,2024-02-13,79,Crew,241051,February,7900
FL100044,Air India,DEL-BOM,2024-02-14,92,Weather,307906,February,9200
FL100045,IndiGo,MAA-DEL,2024-02-15,9,Crew,158946,February,900
FL100046,Air India,BOM-BLR,2024-02-16,75,Air Traffic,116668,February,7500
FL100047,Akasa Air,DEL-BOM,2024-02-17,93,Air Traffic,149003,February,9300
FL100048,Air India,DEL-BLR,2024-02-18,104,Weather,261142,February,10400
FL100049,SpiceJet,BLR-PNQ,2024-02-19,0,Technical,270462,February,0
FL100050,SpiceJet,HYD-BOM,2024-02-20,132,Technical,355142,February,13200
FL100051,SpiceJet,DEL-BOM,2024-02-21,19,Crew,244886,February,1900
FL100052,SpiceJet,BOM-BLR,2024-02-22,7,Crew,154601,February,700
FL100053,Akasa Air,DEL-BLR,2024-02-23,170,Crew,488823,February,17000
FL100054,Vistara,CCU-BOM,2024-02-24,0,Technical,319956,February,0
FL100055,IndiGo,BOM-BLR,2024-02-25,56,Security,111844,February,5600
FL100056,SpiceJet,BLR-PNQ,2024-02-26,63,Air Traffic,251165,February,6300
FL100057,Air India,BOM-BLR,2024-02-27,117,Security,445395,February,11700
FL100058,SpiceJet,DEL-BLR,2024-02-28,27,Security,224870,February,2700
FL100059,Air India,BOM-BLR,2024-02-29,120,Technical,124601,February,12000
FL100060,Air India,DEL-BLR,2024-03-01,106,Security,451491,March,10600
FL100061,SpiceJet,DEL-BOM,2024-03-02,164,Weather,493790,March,16400
FL100062,Akasa Air,DEL-BLR,2024-03-03,174,Crew,360001,March,17400
FL100063,Air India,DEL-BLR,2024-03-04,164,Weather,437699,March,16400
FL100064,Air India,HYD-BOM,2024-03-05,48,Air Traffic,332844,March,4800
FL100065,SpiceJet,DEL-BLR,2024-03-06,119,Crew,307927,March,11900
FL100066,Air India,DEL-BLR,2024-03-07,43,Security,482680,March,4300
FL100067,Air India,CCU-BOM,2024-03-08,55,Air Traffic,223423,March,5500
FL100068,SpiceJet,DEL-BOM,2024-03-09,155,Crew,143330,March,15500
FL100069,SpiceJet,BLR-PNQ,2024-03-10,110,Security,275391,March,11000
FL100070,IndiGo,HYD-BOM,2024-03-11,133,Weather,263606,March,13300
FL100071,Akasa Air,CCU-BOM,2024-03-12,107,Crew,457085,March,10700
FL100072,Akasa Air,MAA-DEL,2024-03-13,147,Security,241387,March,14700
FL100073,Air India,DEL-BOM,2024-03-14,113,Weather,291133,March,11300
FL100074,Akasa Air,DEL-BOM,2024-03-15,77,Air Traffic,464170,March,7700
FL100075,Air India,MAA-DEL,2024-03-16,129,Air Traffic,212627,March,12900
FL100076,IndiGo,BLR-PNQ,2024-03-17,36,Air Traffic,375497,March,3600
FL100077,SpiceJet,DEL-BLR,2024-03-18,19,Air Traffic,488242,March,1900
