Flight_ID,Delay_Minutes,Delay_Type
FL100000,39,Air Traffic
FL100001,20,Crew
FL100002,142,Crew
FL100003,98,Security
FL100004,25,Technical
FL100005,7,Security
FL100006,99,Security
FL100007,86,Weather
FL100008,41,Air Traffic
FL100009,171,Crew
FL100010,13,Technical
FL100011,77,Crew
FL100012,1,Crew
FL100013,118,Air Traffic
FL100014,36,Crew
FL100015,68,Crew
FL100016,165,Security
FL100017,40,Air Traffic
FL100018,61,Weather
FL100019,59,Technical
FL100020,124,Crew
FL100021,110,Technical
FL100022,13,Weather
FL100023,83,Technical
FL100024,129,Weather
FL100025,69,Security
FL100026,144,Crew
FL100027,122,Weather
FL100028,88,Technical
FL100029,27,Crew
FL100030,65,Security
FL100031,162,Crew
FL100032,4,Weather
FL100033,167,Security
FL100034,163,Technical
FL100035,44,Security
FL100036,150,Security
FL100037,46,Air Traffic
FL100038,30,Security
FL100039,138,Security
FL100040,9,Crew
FL100041,117,Technical
FL100042,13,Crew
FL100043,79,Crew
FL100044,92,Weather
FL100045,9,Crew
FL100046,75,Air Traffic
FL100047,93,Air Traffic
FL100048,104,Weather
FL100049,0,Technical
FL100050,132,Technical
FL100051,19,Crew
FL100052,7,Crew
FL100053,170,Crew
FL100054,0,Technical
FL100055,56,Security
FL100056,63,Air Traffic
FL100057,117,Security
FL100058,27,Security
FL100059,120,Technical
FL100060,106,Security
FL100061,164,Weather
FL100062,174,Crew
FL100063,164,Weather
FL100064,48,Air Traffic
FL100065,119,Crew
FL100066,43,Security
FL100067,55,Air Traffic
FL100068,155,Crew
FL100069,110,Security
FL100070,133,Weather
FL100071,107,Crew
FL100072,147,Security
FL100073,113,Weather
FL100074,77,Air Traffic
FL100075,129,Air Traffic
FL100076,36,Air Traffic
FL100077,19,Air Traffic
FL100078,25,Technical
FL100079,28,Crew
FL100080,0,Crew
FL100081,118,Technical
FL100082,34,Security
FL100083,58,Security
FL100084,68,Air Traffic
FL100085,160,Weather
FL100086,178,Security
FL100087,11,Weather
FL100088,19,Crew
FL100089,180,Weather
FL100090,42,Crew
FL100091,125,Technical
FL100092,49,Technical
FL100093,28,Air Traffic
FL100094,38,Security
FL100095,170,Air Traffic
FL100096,177,Crew
FL100097,150,Air Traffic
FL100098,171,Weather
FL100099,37,Crew
FL100100,83,Technical
FL100101,150,Security
FL100102,127,Crew
FL100103,125,Crew
FL100104,44,Weather
FL100105,51,Security
FL100106,79,Technical
FL100107,177,Crew
FL100108,123,Crew
FL100109,118,Weather
FL100110,7,Air Traffic
FL100111,84,Technical
FL100112,128,Security
FL100113,7,Crew
FL100114,156,Crew
FL100115,95,Technical
FL100116,101,Air Traffic
FL100117,4,Crew
FL100118,85,Technical
FL100119,174,Weather
FL100120,33,Air Traffic
FL100121,54,Security
FL100122,118,Crew
FL100123,170,Technical
FL100124,157,Weather
FL100125,113,Security
FL100126,144,Technical
FL100127,25,Technical
FL100128,135,Security
FL100129,46,Weather
FL100130,112,Weather
FL100131,75,Air Traffic
FL100132,71,Crew
FL100133,88,Security
FL100134,45,Security
FL100135,32,Security
FL100136,0,Weather
FL100137,146,Crew
FL100138,30,Air Traffic
FL100139,141,Technical
FL100140,52,Technical
FL100141,47,Security
FL100142,68,Crew
FL100143,104,Weather
FL100144,89,Crew
FL100145,62,Crew
FL100146,72,Weather
FL100147,160,Security
FL100148,168,Crew
FL100149,88,Technical
FL100150,175,Weather
FL100151,12,Air Traffic
FL100152,72,Security
FL100153,76,Weather
FL100154,158,Air Traffic
FL100155,67,Air Traffic
FL100156,97,Crew
FL100157,124,Crew
FL100158,101,Crew
FL100159,131,Weather
FL100160,101,Weather
FL100161,18,Security
FL100162,81,Crew
FL100163,140,Air Traffic
FL100164,22,Technical
FL100165,82,Security
FL100166,108,Weather
FL100167,74,Security
FL100168,128,Security
FL100169,87,Security
FL100170,53,Security
FL100171,88,Technical
FL100172,142,Crew
FL100173,64,Air Traffic
FL100174,75,Security
FL100175,142,Security
FL100176,148,Security
FL100177,146,Crew
FL100178,59,Weather
FL100179,92,Weather
FL100180,160,Technical
FL100181,48,Weather
FL100182,34,Security
FL100183,171,Security
FL100184,101,Security
FL100185,10,Technical
FL100186,98,Security
FL100187,109,Weather
FL100188,73,Crew
FL100189,173,Crew
FL100190,8,Air Traffic
FL100191,2,Weather
FL100192,84,Security
FL100193,25,Crew
FL100194,71,Weather
FL100195,47,Crew
FL100196,155,Security
FL100197,116,Crew
FL100198,153,Air Traffic
FL100199,152,Air Traffic
FL100200,11,Crew
FL100201,132,Weather
FL100202,47,Weather
FL100203,36,Weather
FL100204,43,Crew
FL100205,14,Weather
FL100206,42,Security
FL100207,175,Air Traffic
FL100208,86,Security
FL100209,69,Weather
FL100210,45,Security
FL100211,107,Weather
FL100212,122,Crew
FL100213,170,Security
FL100214,20,Crew
FL100215,150,Crew
FL100216,106,Technical
FL100217,79,Weather
FL100218,46,Air Traffic
FL100219,116,Weather
FL100220,123,Air Traffic
FL100221,142,Weather
FL100222,24,Crew
FL100223,35,Security
FL100224,50,Security
FL100225,14,Technical
FL100226,67,Air Traffic
FL100227,20,Air Traffic
FL100228,140,Air Traffic
FL100229,18,Crew
FL100230,33,Air Traffic
FL100231,77,Security
FL100232,124,Crew
FL100233,116,Weather
FL100234,51,Air Traffic
FL100235,26,Air Traffic
FL100236,156,Weather
FL100237,155,Air Traffic
FL100238,34,Weather
FL100239,135,Crew
FL100240,143,Security
FL100241,105,Weather
FL100242,163,Technical
FL100243,157,Weather
FL100244,145,Air Traffic
FL100245,1,Crew
FL100246,176,Crew
FL100247,76,Weather
FL100248,131,Security
FL100249,89,Technical
FL100250,88,Crew
FL100251,93,Air Traffic
FL100252,6,Air Traffic
FL100253,94,Security
FL100254,107,Crew
FL100255,73,Weather
FL100256,38,Air Traffic
FL100257,140,Security
FL100258,158,Crew
FL100259,70,Crew
FL100260,55,Crew
FL100261,169,Crew
FL100262,41,Crew
FL100263,35,Air Traffic
FL100264,83,Security
FL100265,117,Crew
FL100266,6,Technical
FL100267,53,Technical
FL100268,128,Security
FL100269,171,Weather
FL100270,119,Weather
FL100271,172,Weather
FL100272,105,Technical
FL100273,46,Weather
FL100274,122,Air Traffic
FL100275,140,Crew
FL100276,118,Technical
FL100277,149,Security
FL100278,117,Security
FL100279,20,Crew
FL100280,136,Technical
FL100281,25,Weather
FL100282,8,Weather
FL100283,14,Air Traffic
FL100284,9,Air Traffic
FL100285,121,Weather
FL100286,120,Security
FL100287,124,Security
FL100288,169,Air Traffic
FL100289,71,Crew
