Flight_ID,Airline,Route,Date
FL100000,SpiceJet,HYD-BOM,2024-01-01
FL100001,Akasa Air,HYD-BOM,2024-01-02
FL100002,Vistara,HYD-BOM,2024-01-03
FL100003,Akasa Air,HYD-BOM,2024-01-04
FL100004,Akasa Air,MAA-DEL,2024-01-05
FL100005,Air India,MAA-DEL,2024-01-06
FL100006,Vistara,BLR-PNQ,2024-01-07
FL100007,Vistara,BOM-BLR,2024-01-08
FL100008,Vistara,DEL-BOM,2024-01-09
FL100009,Akasa Air,HYD-BOM,2024-01-10
FL100010,SpiceJet,BLR-PNQ,2024-01-11
FL100011,Vistara,BOM-BLR,2024-01-12
FL100012,Akasa Air,DEL-BOM,2024-01-13
FL100013,Air India,CCU-BOM,2024-01-14
FL100014,SpiceJet,DEL-BLR,2024-01-15
FL100015,Air India,MAA-DEL,2024-01-16
FL100016,SpiceJet,CCU-BOM,2024-01-17
FL100017,Akasa Air,DEL-BOM,2024-01-18
FL100018,IndiGo,CCU-BOM,2024-01-19
FL100019,SpiceJet,DEL-BLR,2024-01-20
FL100020,Air India,BLR-PNQ,2024-01-21
FL100021,Akasa Air,DEL-BOM,2024-01-22
FL100022,SpiceJet,CCU-BOM,2024-01-23
FL100023,IndiGo,MAA-DEL,2024-01-24
FL100024,IndiGo,MAA-DEL,2024-01-25
FL100025,Vistara,BOM-BLR,2024-01-26
FL100026,Vistara,CCU-BOM,2024-01-27
FL100027,Air India,HYD-BOM,2024-01-28
FL100028,SpiceJet,CCU-BOM,2024-01-29
FL100029,SpiceJet,BLR-PNQ,2024-01-30
FL100030,Vistara,DEL-BOM,2024-01-31
FL100031,SpiceJet,DEL-BOM,2024-02-01
FL100032,SpiceJet,BLR-PNQ,2024-02-02
FL100033,IndiGo,CCU-BOM,2024-02-03
FL100034,Vistara,BLR-PNQ,2024-02-04
FL100035,Akasa Air,DEL-BLR,2024-02-05
FL100036,Vistara,BLR-PNQ,2024-02-06
FL100037,Akasa Air,MAA-DEL,2024-02-07
FL100038,IndiGo,BLR-PNQ,2024-02-08
FL100039,Air India,DEL-BOM,2024-02-09
FL100040,SpiceJet,MAA-DEL,2024-02-10
FL100041,IndiGo,DEL-BOM,2024-02-11
FL100042,SpiceJet,BOM-BLR,2024-02-12
FL100043,Air India,HYD-BOM,2024-02-13
FL100044,Air India,DEL-BOM,2024-02-14
FL100045,IndiGo,MAA-DEL,2024-02-15
FL100046,Air India,BOM-BLR,2024-02-16
FL100047,Akasa Air,DEL-BOM,2024-02-17
FL100048,Air India,DEL-BLR,2024-02-18
FL100049,SpiceJet,BLR-PNQ,2024-02-19
FL100050,SpiceJet,HYD-BOM,2024-02-20
FL100051,SpiceJet,DEL-BOM,2024-02-21
FL100052,SpiceJet,BOM-BLR,2024-02-22
FL100053,Akasa Air,DEL-BLR,2024-02-23
FL100054,Vistara,CCU-BOM,2024-02-24
FL100055,IndiGo,BOM-BLR,2024-02-25
FL100056,SpiceJet,BLR-PNQ,2024-02-26
FL100057,Air India,BOM-BLR,2024-02-27
FL100058,SpiceJet,DEL-BLR,2024-02-28
FL100059,Air India,BOM-BLR,2024-02-29
FL100060,Air India,DEL-BLR,2024-03-01
FL100061,SpiceJet,DEL-BOM,2024-03-02
FL100062,Akasa Air,DEL-BLR,2024-03-03
FL100063,Air India,DEL-BLR,2024-03-04
