Flight_ID,Revenue
FL100000,158125
FL100001,442866
FL100002,418226
FL100003,53696
FL100004,176310
FL100005,463274
FL100006,201385
FL100007,331293
FL100008,442208
FL100009,365665
FL100010,95740
FL100011,156611
FL100012,448172
FL100013,298922
FL100014,378785
FL100015,113811
FL100016,495376
FL100017,232385
FL100018,113232
FL100019,327561
FL100020,205801
FL100021,162492
FL100022,80099
FL100023,279206
FL100024,473177
FL100025,455818
FL100026,168474
FL100027,321400
FL100028,293588
FL100029,84681
FL100030,141328
FL100031,268512
FL100032,355505
FL100033,84540
FL100034,207608
FL100035,134700
FL100036,390676
FL100037,237647
FL100038,439770
FL100039,446087
FL100040,96002
FL100041,99812
FL100042,465842
FL100043,241051
FL100044,307906
FL100045,158946
FL100046,116668
FL100047,149003
FL100048,261142
FL100049,270462
FL100050,355142
FL100051,244886
FL100052,154601
FL100053,488823
FL100054,319956
FL100055,111844
FL100056,251165
FL100057,445395
FL100058,224870
FL100059,124601
FL100060,451491
FL100061,493790
FL100062,360001
FL100063,437699
FL100064,332844
FL100065,307927
FL100066,482680
FL100067,223423
FL100068,143330
FL100069,275391
FL100070,263606
FL100071,457085
FL100072,241387
FL100073,291133
FL100074,464170
FL100075,212627
FL100076,375497
FL100077,488242
FL100078,412916
FL100079,228048
FL100080,403646
FL100081,426087
FL100082,421994
FL100083,95095
FL100084,195342
FL100085,211980
FL100086,327667
FL100087,112433
FL100088,490284
FL100089,69991
FL100090,322919
FL100091,397139
FL100092,197745
FL100093,172808
FL100094,208128
FL100095,187686
FL100096,57415
FL100097,296038
FL100098,487100
FL100099,460180
FL100100,480942
FL100101,304205
FL100102,349188
FL100103,238221
FL100104,218616
FL100105,99976
FL100106,475468
FL100107,315976
FL100108,271883
FL100109,261509
FL100110,346292
FL100111,289241
FL100112,269526
FL100113,424374
FL100114,397220
FL100115,496675
FL100116,350546
FL100117,238799
FL100118,88578
FL100119,140453
FL100120,465534
FL100121,387859
FL100122,258859
FL100123,161435
FL100124,266101
FL100125,201538
FL100126,407886
FL100127,95475
FL100128,372286
FL100129,266232
FL100130,207636
FL100131,203484
FL100132,143526
FL100133,101001
FL100134,369793
FL100135,242029
FL100136,478733
FL100137,194228
FL100138,466280
FL100139,75711
FL100140,80106
FL100141,377602
FL100142,459805
FL100143,442573
FL100144,267583
FL100145,413898
FL100146,188286
FL100147,277189
FL100148,176479
FL100149,470343
FL100150,186213
FL100151,78884
FL100152,314852
FL100153,330519
FL100154,65088
FL100155,369759
FL100156,422282
FL100157,226118
FL100158,322158
FL100159,245497
FL100160,446489
FL100161,228207
FL100162,414986
FL100163,474097
FL100164,128077
FL100165,189784
FL100166,255776
FL100167,365018
FL100168,119087
FL100169,324441
FL100170,290341
FL100171,339272
FL100172,118368
FL100173,269571
FL100174,391102
FL100175,345064
FL100176,301514
FL100177,454372
FL100178,192180
FL100179,475061
FL100180,446016
FL100181,309904
FL100182,485928
FL100183,445826
FL100184,127603
FL100185,83872
FL100186,322872
FL100187,407246
FL100188,434193
FL100189,332727
FL100190,135774
FL100191,450479
FL100192,438518
FL100193,248522
FL100194,270357
FL100195,462672
FL100196,403262
FL100197,115942
FL100198,63689
FL100199,476150
FL100200,83276
FL100201,151968
FL100202,463089
FL100203,325194
FL100204,116216
FL100205,265516
FL100206,396184
FL100207,71644
FL100208,112021
FL100209,218197
FL100210,92291
FL100211,478276
FL100212,444754
FL100213,479392
FL100214,353664
FL100215,75675
FL100216,199359
FL100217,312318
FL100218,142268
FL100219,347142
FL100220,234384
FL100221,455328
FL100222,155410
FL100223,387369
FL100224,356958
FL100225,397235
FL100226,362863
FL100227,179887
FL100228,346063
FL100229,385299
FL100230,383713
FL100231,353472
FL100232,251554
FL100233,336762
FL100234,84675
FL100235,331063
FL100236,316317
FL100237,421513
FL100238,338544
FL100239,231517
FL100240,120305
FL100241,218636
FL100242,489030
FL100243,138791
FL100244,209034
FL100245,120533
FL100246,237256
FL100247,415735
FL100248,191650
FL100249,181060
FL100250,199696
FL100251,351338
FL100252,422047
FL100253,443605
FL100254,411447
FL100255,292188
FL100256,426047
FL100257,379535
FL100258,287501
FL100259,457010
FL100260,370146
FL100261,347675
FL100262,233887
FL100263,54986
FL100264,344442
FL100265,313625
FL100266,368552
FL100267,250339
FL100268,171950
FL100269,460051
FL100270,175355
FL100271,77798
FL100272,141649
FL100273,377031
FL100274,69477
FL100275,460482
FL100276,267400
FL100277,267060
FL100278,439959
FL100279,486742
FL100280,439570
FL100281,455105
FL100282,336479
FL100283,454470
FL100284,398754
FL100285,323586
FL100286,358433
FL100287,365891
FL100288,349471
FL100289,459415
FL100290,384971
FL100291,156464
FL100292,181184
FL100293,137051
FL100294,200653
FL100295,295300
FL100296,109722
FL100297,142036
FL100298,278634
FL100299,197595
FL100300,379104
FL100301,298709
FL100302,331696
FL100303,191880
FL100304,285419
FL100305,204692
FL100306,313031
FL100307,343946
FL100308,135024
FL100309,295809
FL100310,168639
FL100311,430392
FL100312,131938
FL100313,267813
FL100314,302100
FL100315,434890
FL100316,338193
FL100317,389933
FL100318,134526
FL100319,451062
FL100320,96220
FL100321,358307
FL100322,446981
FL100323,429270
FL100324,393630
FL100325,488486
FL100326,125277
FL100327,416389
FL100328,172332
FL100329,284231
FL100330,72931
FL100331,139116
FL100332,301671
FL100333,367777
FL100334,101913
